iter	Passed	Remaining
0	1	157
1	3	153
2	4	150
3	6	157
4	8	154
5	9	150
6	11	147
7	12	144
8	14	142
9	15	140
10	16	136
11	18	133
12	19	131
13	20	126
14	21	121
15	22	118
16	23	114
17	24	110
18	25	106
19	25	103
20	26	100
21	27	97
22	28	96
23	29	93
24	30	91
25	31	88
26	31	85
27	32	82
28	32	80
29	33	77
30	33	75
31	34	73
32	35	71
33	35	69
34	36	67
35	36	65
36	37	63
37	37	61
38	38	59
39	38	57
40	38	56
41	39	54
42	39	52
43	40	51
44	40	49
45	41	48
46	41	46
47	41	45
48	42	44
49	42	42
50	43	41
51	43	40
52	43	38
53	44	37
54	44	36
55	45	35
56	45	34
57	45	33
58	46	32
59	46	31
60	47	30
61	47	29
62	47	28
63	48	27
64	48	26
65	48	25
66	49	24
67	49	23
68	50	22
69	50	21
70	50	20
71	51	19
72	51	19
73	51	18
74	52	17
75	52	16
76	53	15
77	53	15
78	53	14
79	54	13
80	54	12
81	54	12
82	55	11
83	55	10
84	55	9
85	56	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	58	5
92	58	4
93	59	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
